Localized Magento Editions,Magento phiên bản Việt hóa
Partners - Localized Magento Editions,Đối tác - Magento phiên bản Việt hóa
Dashboard - Localized Magento Editions,Giao diện điều khiển - Magento phiên bản Việt hóa
Suggestions - Localized Magento Editions,Gợi ý - Magento phiên bản Việt hóa
Partners,Đối tác
Dashboard,Giao diện điều khiển
Suggestions,Gợi ý
Please enter your data:,Xin hãy nhập dữ liệu của bạn:
Shop Data,Dữ liệu Cửa hàng
Magento was prepared successfully. Please log out and log in again in order to access the newly installed modules.,Nền tảng Magento được cài đặt thành công. Vui lòng thoát ra và đăng nhập lại để truy cập vào các mô-đun mới được cài đặt.
Your data was saved successfully.,Dữ liệu của bạn đã được lưu thành công
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s (IBAN %s, SWIFT %s)","Sau khi đơn hàng được hoàn thành , vui lòng chuyển khoản số tiền đến: %s, tài khoản %s, mã ngân hàng %s, số tài khoản %s, %s (IBAN %s, SWIFT %s)"
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s","Sau khi đơn hàng được hoàn thành, vui lòng chuyển khoản số tiền đến: %s, tài khoản %s, mã ngân hàng %s, %s"
PayPal Merchant Account Email Address,Email Tài khoản Paypal Merchant
Store Languages,Ngôn ngữ hiển thị
Create Additional Store Languages,Thêm ngôn ngữ hiển thị
German,Tiếng Đức
English,Tiếng Anh
French,Tiếng Pháp
Italian,Tiếng Ý
Russian,Tiếng Nga
%s language will be created automatically.,%s ngôn ngữ sẽ được tạo lập tự động
Default Category,Danh mục mặc định
Display Logo in Header,Hiển thị Logo ở Tiêu đề trang
Display Entry in Menu,Hiển thị Tiểu mục ở phần Mục lục
Display Block in Dashboard,Hiển thị Khối trong Giao diện điều khiển
optional,không bắt buộc
Dashboard,Giao diện điều khiển
Partners,Đối tác
Recommendations,Khuyến nghị
Integrated Modules,Các mô-đun được tích hợp
Install the following modules:,Cài đặt các mô-đun sau:
Click for more information in a new window,Click để xem chi tiết trong cửa sổ mới
Don't install additional modules,Không cài đặt các mô-đun bổ sung
Install default modules,Cài đặt các mô-đun mặc định
Choose which modules you want to install (Advanced Mode),Chọn mô-đun bạn muốn cài đặt (chế độ Nâng cao)
Successfully updated module %s.,Cập nhập mô-đun thành công.
,
Help to improve %s - data transfer,Giúp nâng cấp %s - truyền dữ liệu
