"code","default_name","region_code"
"110","Quận Bắc Từ Liêm","HN"
"1A01","Quận Ba Đình","HN"
"1A06","Quận Cầu Giấy","HN"
"1A04","Quận Đống Đa","HN"
"1A03","Quận Hai Bà Trưng","HN"
"1A02","Quận Hoàn Kiếm","HN"
"1A08","Quận Hoàng Mai","HN"
"1A09","Quận Long Biên","HN"
"1A05","Quận Tây Hồ","HN"
"1A07","Quận Thanh Xuân","HN"
"1B29","Huyện Mê Linh","HN"
"1A13","Huyện Đông Anh","HN"
"1A14","Huyện Sóc Sơn","HN"
"1A12","Huyện Gia Lâm","HN"
"1A11","Huyện Thanh Trì","HN"
"1B16","Thị xã Sơn Tây","HN"
"130","Quận Nam Từ Liêm","HN"
"1B28","Huyện Phú Xuyên","HN"
"1A00","Quận Đặc Biệt","HN"
"1B17","Huyện Ba Vì","HN"
"1B22","Huyện Đan Phượng","HN"
"1B23","Huyện Hoài Đức","HN"
"1B25","Huyện Mỹ Đức","HN"
"1B18","Huyện Phúc Thọ","HN"
"1B19","Huyện Thạch Thất","HN"
"1B24","Huyện Thanh Oai","HN"
"1B26","Huyện Ứng Hòa","HN"
"1B21","Huyện Chương Mĩ","HN"
"1B20","Huyện Quốc Oai","HN"
"1B27","Huyện Thường Tín","HN"
