"country_id","code","default_name"
"VN","AG","An Giang"
"VN","BG","Bắc Giang"
"VN","BK","Bắc Kạn"
"VN","BL","Bạc Liêu"
"VN","BN","Bắc Ninh"
"VN","BR-VT","Bà Rịa - Vũng Tàu"
"VN","BT","Bến Tre"
"VN","BDI","Bình Định"
"VN","BD","Bình Dương"
"VN","BP","Bình Phước"
"VN","BTH","Bình Thuận"
"VN","CM","Cà Mau"
"VN","CT","Cần Thơ"
"VN","CB","Cao Bằng"
"VN","DN","Đà Nẵng"
"VN","DL","Đắk Lắk"
"VN","DNO","Đắc Nông"
"VN","DB","Điện Biên"
"VN","DNA","Đồng Nai"
"VN","DT","Đồng Tháp"
"VN","GL","Gia Lai"
"VN","HG","Hà Giang"
"VN","HNA","Hà Nam"
"VN","HT","Hà Tĩnh"
"VN","HD","Hải Dương"
"VN","HP","Hải Phòng"
"VN","HN","Hà Nội"
"VN","HAG","Hậu Giang"
"VN","HB","Hòa Bình"
"VN","HCM","Hồ Chí Minh"
"VN","HY","Hưng Yên"
"VN","KH","Khánh Hòa"
"VN","KG","Kiên Giang"
"VN","KT","Kon Tum"
"VN","LCH","Lai Châu"
"VN","LD","Lâm Đồng"
"VN","LS","Lạng Sơn"
"VN","LC","Lào Cai"
"VN","LA","Long An"
"VN","ND","Nam Định"
"VN","NA","Nghệ An"
"VN","NB","Ninh Bình"
"VN","NT","Ninh Thuận"
"VN","PT","Phú Thọ"
"VN","PY","Phú Yên"
"VN","QB","Quảng Bình"
"VN","QN","Quảng Nam"
"VN","QNG","Quảng Ngãi"
"VN","QNI","Quảng Ninh"
"VN","QT","Quảng Trị"
"VN","ST","Sóc Trăng"
"VN","SL","Sơn La"
"VN","TN","Tây Ninh"
"VN","TB","Thái Bình"
"VN","TN","Thái Nguyên"
"VN","TH","Thanh Hóa"
"VN","TTH","Thừa Thiên-Huế"
"VN","TG","Tiền Giang"
"VN","TV","Trà Vinh"
"VN","TQ","Tuyên Quang"
"VN","VL","Vĩnh Long"
"VN","VP","Vĩnh Phúc"
"VN","YB","Yên Bái"
