"code","default_name","region_code"
"0201","Quận 1","HCM"
"0202","Quận 2","HCM"
"0203","Quận 3","HCM"
"0204","Quận 4","HCM"
"0205","Quận 5","HCM"
"0206","Quận 6","HCM"
"0207","Quận 7","HCM"
"0208","Quận 8","HCM"
"0209","Quận 9","HCM"
"0210","Quận 10","HCM"
"0211","Quận 11","HCM"
"0212","Quận 12","HCM"
"0214","Quận Tân Bình","HCM"
"0215","Quận Tân Phú","HCM"
"0217","Quận Phú Nhuận","HCM"
"0219","Quận Bình Tân","HCM"
"0222","Huyện Hóc Môn","HCM"
"0221","Huyện Củ Chi","HCM"
"0213","Quận Gò Vấp","HCM"
"0216","Quận Bình Thạnh","HCM"
"0218","Quận Thủ Đức","HCM"
"0220","Huyện Bình Chánh","HCM"
"0223","Huyện Nhà Bè","HCM"
"02202","Quận Đặc Biệt","HCM"
