"City Information","Thông tin Quận/Huyện"
"Country","Quốc gia"
"Region","Tỉnh/Thành"
"Code","Mã"
"Default Name","Tên mặc định"
"Save City","Lưu Quận/Huyện"
"Delete City","Xóa Quận/Huyện"
"Save And Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Edit City '%s'","Chỉnh sửa Quận/Huyện "
"Add City","Thêm Quận/Huyện"
"code","mã"
"ID","ID"
"Country Code","Mã Quốc gia"
"City Code","Mã Quận/Huyện"
"Action","Thao tác"
"Edit","Chỉnh sửa"
"CSV","CSV"
"XML","XML"
"Delete","Xóa"
"Are you sure?","Bạn chắc chắn chứ?"
"Import City","Nhập Quận/Huyện"
"Import File","Nhập tệp tin"
"Download Sample CSV File","Tải tệp tin CSV mẫu"
"Import","Nhập"
"City Manager","Quản lý Quận/Huyện"
"Import Citys","Nhập Quận/Huyện"
"State information","Thông tin Tỉnh/Thành"
"Locale ","Quốc gia "
"Name","Tên"
"Region Information","Thông tin Tỉnh/Thành"
"Save Region","Lưu Tỉnh/Thành"
"Delete Region","Xóa Tỉnh/Thành"
"Edit Region '%s'","Chỉnh sửa Tỉnh/Thành '%s'"
"Add Region","Thêm Tỉnh/Thành"
"Region Code","Mã Tỉnh/Thành"
"Name in Locale","Tên tại Quốc gia"
"Import Region","Nhập Tỉnh/Thành"
"Region Manager","Quản lý Tỉnh/Thành"
"Import Regions","Nhập Tỉnh/Thành"
"Enabled","Kích hoạt"
"Disabled","Vô hiệu"
"Citys Manager","Quản lý Quận/Huyện"
"City News","Tin tức về Quận/Huyện"
"City does not exist","Quận/Huyện không tồn tại"
"City was successfully saved","Quận/Huyện được lưu thành công"
"Unable to find region to save","Không thể tìm thấy Tỉnh/Thành để lưu"
"City was successfully deleted","Quận/Huyện đã được xóa thành công"
"Please Select","Vui lòng chọn"
"Please Create Region for this country!","Vui lòng tạo Tỉnh/Thành cho quốc gia này!"
"invalid files","Tệp tin không có giá trị"
"No uploaded files","Không có tệp tin nào được tải lên"
"Regions Manager","Quản lý Tỉnh/Thành"
"Region News","Tin tức về Tỉnh/Thành"
"Region does not exist","Tỉnh/Thành không tồn tại"
"Region was successfully saved","Tỉnh/Thành đã được lưu thành công"
"Region was successfully deleted","Tỉnh/Thành đã được xóa thành công"
"Manage Region","Quản lý khu vực"
"Manage City","Quản lý Quận/Huyện"
"Settings","Cài đặt"
"Allow Everything","Cho phép toàn bộ"
"Magestore Extension","Magestore Extension"
"Regionmanager","Quản lý khu vực"
"General Configuration","Cài đặt chung"
"Enable","Kích hoạt"
"Export to:","Xuất thành:"
